species,set,number,year,rarity,cause,alt_asset_id,detail
Exploud,Plasma Storm,107/135,2013,Rare,no_psa10_ever,f07888dd-9725-466c-a5e4-10add84bf468,alt.xyz graded pop (all companies) 5
Garbodor,Plasma Storm,67/135,2013,Rare,no_psa10_ever,33154a24-1aeb-499e-a790-d6bd52d950ff,"alt.xyz graded pop (all companies) 10,8"
Jellicent,Plasma Storm,39/135,2013,Rare,no_psa10_ever,49b39821-603c-45d6-836c-3208a70de9da,"alt.xyz graded pop (all companies) 9,8"
Klinklang,Plasma Storm,90/135,2013,Rare Holo,no_psa10_ever,8eec66d6-3979-460d-a7f7-8e853c4fd8ee,alt.xyz graded pop (all companies) 9
Leavanny,Plasma Storm,10/135,2013,Rare,no_psa10_ever,2c8aa1aa-83ae-4554-b6a5-7adde2050b94,alt.xyz graded pop (all companies) 6
Ludicolo,Plasma Storm,31/135,2013,Rare,no_psa10_ever,31d084b6-9a27-4946-b0a2-f9257d8ef209,"alt.xyz graded pop (all companies) 5,2"
Magnezone,Plasma Storm,47/135,2013,Rare,no_psa10_ever,9efd48c2-216f-4d1e-9748-05f420eec759,"alt.xyz graded pop (all companies) 6,5"
Mamoswine,Plasma Storm,28/135,2013,Rare,no_psa10_ever,0f9ca69b-cbb3-4040-84d7-48a19dcba477,alt.xyz graded pop (all companies) 6
Scrafty,Plasma Storm,86/135,2013,Rare,no_psa10_ever,c37dc596-11f1-4d13-8ae3-724616c54e91,"alt.xyz graded pop (all companies) 9,8"
Skarmory,Plasma Storm,87/135,2013,Rare,no_psa10_ever,92c656f1-b8e4-497f-9df4-7ddf88f3e654,"alt.xyz graded pop (all companies) 28,7"
Vanilluxe,Plasma Storm,37/135,2013,Rare,no_psa10_ever,2ed46c6c-e8e2-4819-be25-e952f211945a,alt.xyz graded pop (all companies) 7
Vespiquen,Plasma Storm,5/135,2013,Rare,no_psa10_ever,b47ea52f-55ce-4514-aebb-6af5e60ace99,"alt.xyz graded pop (all companies) 4,4"
Altaria,Platinum,18/127,2009,Rare,no_psa10_ever,9d42a0e0-7856-42f8-9add-cb07c3f185cb,alt.xyz graded pop (all companies) 30
Banette,Platinum,19/127,2009,Rare,no_psa10_ever,8b164795-bfdf-499e-a851-789bfbd02e60,alt.xyz graded pop (all companies) 28
Bastiodon,Platinum,20/127,2009,Rare,no_psa10_ever,20ca46de-9e37-459f-a4a0-6902db13ea66,alt.xyz graded pop (all companies) 7
Blissey,Platinum,22/127,2009,Rare,no_psa10_ever,ec3aed6c-f326-4627-ab9b-46ce07dc8872,"alt.xyz graded pop (all companies) 30,9"
Dugtrio,Platinum,24/127,2009,Rare,no_psa10_ever,0894a1fa-b5ea-478e-8148-49342fa7f359,"alt.xyz graded pop (all companies) 31,13"
Dustox,Platinum,25/127,2009,Rare,no_psa10_ever,67222dd4-955b-4466-9428-1266374179ff,"alt.xyz graded pop (all companies) 41,10"
Empoleon,Platinum,26/127,2009,Rare,no_psa10_ever,6d4c14dc-d5fb-4c8d-adb8-c522298fdcd9,"alt.xyz graded pop (all companies) 25,18"
Infernape,Platinum,31/127,2009,Rare,no_psa10_ever,e0ba6d7f-0c09-47dc-a58e-2ba53c193283,alt.xyz graded pop (all companies) 78
Kricketune,Platinum,32/127,2009,Rare,no_psa10_ever,9f2c1703-3e08-43b6-9380-e0b98e7afd38,"alt.xyz graded pop (all companies) 27,9"
Lickilicky,Platinum,33/127,2009,Rare,no_psa10_ever,6c16bbc7-3ed3-4d23-84e5-1d882586ec03,"alt.xyz graded pop (all companies) 40,12,10"
Ludicolo,Platinum,34/127,2009,Rare,no_psa10_ever,e5d5cad6-20dd-462b-8fa1-9cef4753c5e6,"alt.xyz graded pop (all companies) 36,12"
Luvdisc,Platinum,35/127,2009,Rare,no_psa10_ever,6c9884f9-5842-4567-91a0-a3474abf85d6,alt.xyz graded pop (all companies) 7
Slaking,Platinum,16/127,2009,Rare Holo,no_psa10_ever,b2652995-c17e-45bc-873f-d3cb20806dff,"alt.xyz graded pop (all companies) 52,34"
Swablu,Platinum,SH5,2009,Rare Holo,no_psa10_ever,230cb2fc-ac55-4532-9ea2-565669c41747,alt.xyz graded pop (all companies) 96
Golem,Platinum: Arceus,19/99,2009,Rare,no_psa10_ever,3406d1ef-cd9e-445b-82bf-1a6f94f65084,alt.xyz graded pop (all companies) 11
Hariyama,Platinum: Arceus,20/99,2009,Rare,no_psa10_ever,a1069e7c-b1af-4da3-8d20-0f3c3f4a0cc4,"alt.xyz graded pop (all companies) 11,8"
Pelipper,Platinum: Arceus,24/99,2009,Rare,no_psa10_ever,7724b0f3-6ec7-412d-a0d4-b08ca94ee8cf,"alt.xyz graded pop (all companies) 5,5"
Rapidash,Platinum: Arceus,28/99,2009,Rare,no_psa10_ever,4d3e950a-7922-4349-adaf-6c530b9b5314,"alt.xyz graded pop (all companies) 33,2"
Aggron,Rising Rivals,14/111,2009,Rare,no_psa10_ever,db070c92-bdee-4b73-a7cd-0e87e8aac133,alt.xyz graded pop (all companies) 14
Beedrill,Rising Rivals,15/111,2009,Rare,no_psa10_ever,a017fa19-e5b2-4dea-bdec-66f8b6ad72a7,alt.xyz graded pop (all companies) 23
Drapion,Rising Rivals,17/111,2009,Rare,no_psa10_ever,09cf47d3-2ccf-46ab-b65a-96f60b9ce5a8,alt.xyz graded pop (all companies) 11
Gastrodon,Rising Rivals,21/111,2009,Rare,no_psa10_ever,bbefcfd0-29f9-444e-a7e6-490c37b4ba7a,alt.xyz graded pop (all companies) 4
Gastrodon,Rising Rivals,22/111,2009,Rare,no_psa10_ever,a15ba4c5-7171-47d6-9ec1-49d863ddc737,alt.xyz graded pop (all companies) 4
Golem,Rising Rivals,23/111,2009,Rare,no_psa10_ever,7e57d545-e806-4560-9e5b-90806ceed7af,"alt.xyz graded pop (all companies) 20,10"
Hippowdon,Rising Rivals,25/111,2009,Rare,no_psa10_ever,9568a4bf-be52-4905-b8b1-515eee2e7155,"alt.xyz graded pop (all companies) 10,5"
Mamoswine,Rising Rivals,27/111,2009,Rare,no_psa10_ever,8757559b-1dba-423a-a271-f6b7f8ecbb87,alt.xyz graded pop (all companies) 16
Mr. Mime,Rising Rivals,28/111,2009,Rare,no_psa10_ever,cd3424a5-279f-4710-9596-3c550d3b2262,alt.xyz graded pop (all companies) 29
Banette,Secret Wonders,23/132,2007,Rare,no_psa10_ever,8e6cf2b0-669d-402a-9e6a-605da78e5bdd,alt.xyz graded pop (all companies) 31
Dugtrio,Secret Wonders,24/132,2007,Rare,no_psa10_ever,a7dc04b9-0a49-4b0e-bd21-f6e2f6dc5037,alt.xyz graded pop (all companies) 41
Furret,Secret Wonders,27/132,2007,Rare,no_psa10_ever,95f95624-d33c-4b28-bafd-83600f39534a,alt.xyz graded pop (all companies) 24
Golduck,Secret Wonders,28/132,2007,Rare,no_psa10_ever,09d8f3b0-b908-439b-b028-db1ddb24769b,"alt.xyz graded pop (all companies) 49,6"
Golem,Secret Wonders,29/132,2007,Rare,no_psa10_ever,a05c1e04-e8a0-427c-88d3-a3f78d6c7fe8,alt.xyz graded pop (all companies) 22
Mothim,Secret Wonders,33/132,2007,Rare,no_psa10_ever,6d10be41-b31f-4822-9e17-faac7d406004,alt.xyz graded pop (all companies) 17
Plusle,Secret Wonders,36/132,2007,Rare,no_psa10_ever,3711d00e-d325-40ac-bc4a-157de91eb5ae,"alt.xyz graded pop (all companies) 41,17"
Sunflora,Secret Wonders,38/132,2007,Rare,no_psa10_ever,89f7a33e-1e84-4e20-b374-a35c78921c77,"alt.xyz graded pop (all companies) 45,16"
Unown,Secret Wonders,39/132,2007,Rare,no_psa10_ever,1537fd16-3592-4c93-9830-62c839c46567,"alt.xyz graded pop (all companies) 24,5"
Weavile,Secret Wonders,40/132,2007,Rare,no_psa10_ever,01a2ff4f-06fd-437e-a90c-c1e396779da0,alt.xyz graded pop (all companies) 16
Wormadam,Secret Wonders,41/132,2007,Rare,no_psa10_ever,7036773f-d175-481d-ac5c-ea0a4499aff6,alt.xyz graded pop (all companies) 27
Wormadam,Secret Wonders,42/132,2007,Rare,no_psa10_ever,b1647be7-b73b-460e-8326-5f1e739ed01c,alt.xyz graded pop (all companies) 27
Wormadam,Secret Wonders,43/132,2007,Rare,no_psa10_ever,b10bde1f-ca47-4881-b8e4-d98b6c2bf0da,alt.xyz graded pop (all companies) 32
Xatu,Secret Wonders,44/132,2007,Rare,no_psa10_ever,d4b5d701-6a20-4792-a361-e9467075944e,alt.xyz graded pop (all companies) 26
Bronzong,Stormfront,13/100,2008,Rare,no_psa10_ever,8a897857-9e9a-4e52-93b8-973fbd799799,alt.xyz graded pop (all companies) 26
Cherrim,Stormfront,14/100,2008,Rare,no_psa10_ever,569b31c2-7f6e-4239-88ca-64f8b7afbdc9,alt.xyz graded pop (all companies) 27
Drapion,Stormfront,15/100,2008,Rare,no_psa10_ever,9b2e03d6-34f6-4a0b-8bfc-efa6e5cc72b3,alt.xyz graded pop (all companies) 25
Dusknoir,Stormfront,17/100,2008,Rare,no_psa10_ever,b91a3494-cd3e-4653-ae1c-6efde4555113,alt.xyz graded pop (all companies) 35
